Fiche technique,Famille,Sous famille
POULET OIGNON/AMANDES (MAROCAIN)*/ (BC),05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
ROTI DE CHAPON,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
ROTI DE CHAPON FARCI,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
ROTI DE DINDE*/ ,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
SAUCE ARACHIDE AU POULET,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
SAUCISSE DE VOLAILLE 120GR,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
SAUCISSE DE VOLAILLE 120GR*/ PDS,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
VIANDE CASSOULET,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
VIANDE CASSOULET*/ PDS,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
VIANDE PAELLA,05-LAPIN & VOLAILLE,VOLAILLE PIECEE ET ROTI
ASSIETTE KEBAB PV,05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
BURRITOS TEX MEX POULET,05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
COQ AU VIN BC,05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
CURRY JAPONNAIS,05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
CURRY/POULET,05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
EMINCE AIGUIELLETTE DE POULET */ PV,05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
EMINCE AIGUILLETTE DE POULET */ PV PLANCHA,05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
EMINCE DE DINDE */ PV  PLANCHA,05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
EMINCE DE DINDE AU CURRY */ (BC),05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
EMINCE DE DINDE MAKFOUL  */ (BC),05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
EMINCE DE DINDE TANDOORI,05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
EMINCE DE POULET GRILLE*/ (BC),05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
EMINCE DE POULET KORMA (BC),05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
EMINCE DE POULET SAUTE AUX NOIX DE CAJOU */ (BC),05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
EMINCE POULET PEKINOISE */  (BC),05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
FRICASSEE MEXICAINE COLOMBIE*/,05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
SAUTE DE DINDE BASQUAISE*/ BC,05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
SAUTE DE VOLAILLE  CITRONNELLE */ ,05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
WOK D'AIGUILLETTES DE POULET ANANAS */ (BC),05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
WOK D'AIGUILLETTES DE POULET MIEL SOJA */ (BC),05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
WOK D'AIGUILLETTES POULET AU CITRON */ (BC),05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
WOK D'AIGUILLETTES POULET PAPRIKA MIEL */ (BC),05-LAPIN & VOLAILLE,"VOLAILLE SAUTE,EMINCE"
BEIGNET/OIGNONS *8,06-PLATS VEGETARIENS,VEGETARIEN AGRO
BOUCHEE AU CAMEMBERT (5 PIÈCES),06-PLATS VEGETARIENS,VEGETARIEN AGRO
BOUCHEE CHEESE DONUT'S (5 PIÈCES),06-PLATS VEGETARIENS,VEGETARIEN AGRO
BOULETTE DE FALAFEL ,06-PLATS VEGETARIENS,VEGETARIEN AGRO
BOULETTE VEGETALE SCE TOMATE,06-PLATS VEGETARIENS,VEGETARIEN AGRO
BOULETTES SOJA TOMATE BASILIC,06-PLATS VEGETARIENS,VEGETARIEN AGRO
CHILI CHEESE NUGGETS *7 PAR PERS,06-PLATS VEGETARIENS,VEGETARIEN AGRO
CREPE CHAMPIGNONS (VEGET),06-PLATS VEGETARIENS,VEGETARIEN AGRO
FEUILLETE AU CHEVRE,06-PLATS VEGETARIENS,VEGETARIEN AGRO
FEUILLETE AUX LEGUMES PDS,06-PLATS VEGETARIENS,VEGETARIEN AGRO
FEUILLETE AUX LEGUMES PLAT */ VEGET,06-PLATS VEGETARIENS,VEGETARIEN AGRO
FEUILLETÉE AUX LÉGUMES PDS,06-PLATS VEGETARIENS,VEGETARIEN AGRO
GALETTE DE BOULGOUR/LENTILLE,06-PLATS VEGETARIENS,VEGETARIEN AGRO
GALETTE DE BOULGOUR/LENTILLE PDS,06-PLATS VEGETARIENS,VEGETARIEN AGRO
GALETTE DE LENTILLE VERTE BIO,06-PLATS VEGETARIENS,VEGETARIEN AGRO
GALETTE DE LENTILLE VERTE BIO PDS,06-PLATS VEGETARIENS,VEGETARIEN AGRO
GALETTE DE QUINOA A LA PROVENCALE */ (100 GR),06-PLATS VEGETARIENS,VEGETARIEN AGRO
GALETTE DE QUINOA VEGET FT UCP,06-PLATS VEGETARIENS,VEGETARIEN AGRO
GALETTE VEGE POIS CHICHE,06-PLATS VEGETARIENS,VEGETARIEN AGRO
KEFTA AUX FALAFELS (X5),06-PLATS VEGETARIENS,VEGETARIEN AGRO
NUGGET VEGETAL,06-PLATS VEGETARIENS,VEGETARIEN AGRO
NUGGET VEGETAL (PDS),06-PLATS VEGETARIENS,VEGETARIEN AGRO
NUGGET VEGETAL (PV),06-PLATS VEGETARIENS,VEGETARIEN AGRO
OMELETTE NATURE*/ (130 GR) VEGET (BC),06-PLATS VEGETARIENS,VEGETARIEN AGRO
PANE DE BLE FROMAGE/EPINARD (100GR),06-PLATS VEGETARIENS,VEGETARIEN AGRO
PANE DE BLE FROMAGE/EPINARD (PDS),06-PLATS VEGETARIENS,VEGETARIEN AGRO
PANE DE BLE TOMATE/MOZZARELLA (PDS),06-PLATS VEGETARIENS,VEGETARIEN AGRO
PANE DE BLE TOMATE/MOZZRELLA,06-PLATS VEGETARIENS,VEGETARIEN AGRO
SAMOUSSA AUX LEGUMES,06-PLATS VEGETARIENS,VEGETARIEN AGRO
SAMOUSSA AUX LEGUMES */ VEGET,06-PLATS VEGETARIENS,VEGETARIEN AGRO
SAMOUSSA AUX LEGUMES PV (3 PAR PERS),06-PLATS VEGETARIENS,VEGETARIEN AGRO
STEAK DE MILLET/BOULGOUR ORIENTAL,06-PLATS VEGETARIENS,VEGETARIEN AGRO
STEAK DE MILLET/BOULGOUR ORIENTAL PDS,06-PLATS VEGETARIENS,VEGETARIEN AGRO
STEAK SOJA AUX PT LEGUME */PDS,06-PLATS VEGETARIENS,VEGETARIEN AGRO
STEAK SOJA AUX PT LEGUMES */(VEGET),06-PLATS VEGETARIENS,VEGETARIEN AGRO
STEAK VÉGÉTAL AUX PETITS LÉGUMES,06-PLATS VEGETARIENS,VEGETARIEN AGRO
STEAK VEGETAL SCE TOMATE */ (VEGET),06-PLATS VEGETARIENS,VEGETARIEN AGRO
BAGHALI FEVE/ANETH/OEUFS POCHES VEGET,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
BIRYANI VEGET POIS CHICHE ET LEGUMES,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
BLESOTTO  PETITS POIS,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
BLESOTTO AUX POTIRONS,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
BOULETTES DE FALAFEL FT UCP,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
BROCHETTE DE TOFU PANE,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
BYRIANI DE PETITS POIS AUX ÉPICES DOUCES - TEST,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
CAKE CHAMPETRE VEGET,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
CAKE HARICOT ROUGE VEGET,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
CAKE PATATE DOUCE,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
CAKE POIS CHICHE VEGET,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
CARI RÉUNIONNAIS DE CAROTTES AUX 2 LENTILLES-TEST,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
CHILI VRAP AUX LEGUMES CROQUANTS,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
CLAFOUTIS TOMATES CERISE,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
COLOMBO DE PATATE DOUCE,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
COLOMBO PATATE DOUCE,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
CROQUE OEUF MOLLET,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
CROQUETTE/CHOU-FLEUR,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
CURRY LENTILLE CORAIL AUX LEGUMES,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
CURRY VEGE POIS CHICHE (PLAT COMPLET),06-PLATS VEGETARIENS,VEGETARIEN CUISINE
CURRY VEGETAL (SAISON),06-PLATS VEGETARIENS,VEGETARIEN CUISINE
CURRY/POIS CHICHE,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
DAL/LENTILLE KABULI,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
DAL/POIREAUX,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
DALH FEVE,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
DALH LENTILLE,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
EFFILOCHE DE CHOU AU CURCUMA,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
EMINCE JAPONAIS,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
FAJITAS DE HARICOTS ROUGES & SAUCE TEX-MEX-TEST,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
FALAFELS SAUCE À LA MENTHE - TEST,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
FONDUE DE POIREAUX AUX POIS CHICHE */ VEGET,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
FONDUE DE POIREAUX FRAIS/ POIS CHICHE */ VEGET,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
GALETTE INDIENNE,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
GARNITURE PIZZA MACARONI */ (VEGET),06-PLATS VEGETARIENS,VEGETARIEN CUISINE
GARNITURE POIREAUX/POIS CHICHE/SAFRAN,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
GATEAU DE LÉGUMES BOCUSE,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
GNOCCHI ROMAINE SCE CURRY */ VEGET,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
GNOCCHI ROMAINE SCE TOMATE */ VEGET,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
GRATIN DE LÉGUMES & LENTILLES CORAIL - TEST-,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
HACHE VEGETAL ET SA GARNITURE */ (VEGET),06-PLATS VEGETARIENS,VEGETARIEN CUISINE
HARICOTS FAÇON BASQUAISE - TEST,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
KHORESHT POIS CASSES/CAROTTE/PDT */ VEGET,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
LASAGNE AUX POIS CHICHES ( X 15) */ VEGET,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
LASAGNE VÉGÉTARIENNE ( X 15) */ VEGET,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
LASAGNES AUX LÉGUMES D'AUTOMNE - TEST-,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
LÉGUMES SAUTÉS AU BOULGOUR (VEGET) */,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
LENTILLONS DE CHAMPAGNE AU CURRY - TEST,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
MACARONI BOLOGNAISE VEGETAL BOX */ PV,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
NOUILLES THAÏ AUX LÉGUMES-TEST,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
NUGGETS VEGE POIS CHICHE,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
OEUF CREME AUX LEGUMES */ ( VEGET)  ,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
OEUFS A LA CREME /* (BC),06-PLATS VEGETARIENS,VEGETARIEN CUISINE
OEUFS BEURRE ET CIBOULETTE */ VEGET (BC),06-PLATS VEGETARIENS,VEGETARIEN CUISINE
OEUFS BROUILLES AUX AUBERGINES */ VEGET,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
OMELETTE A LA TOMATE*/ (BC),06-PLATS VEGETARIENS,VEGETARIEN CUISINE
OMELETTE AUX FROMAGE */FT UCP,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
OMELETTE AUX PDT */FT UCP,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
OMELETTE ESPAGNOLE */ VEGET,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
OMELETTE NATURE */FT UCP (BC),06-PLATS VEGETARIENS,VEGETARIEN CUISINE
PAD THAÏ SUCRÉ-SALÉ SOJA & LÉGUMES SAUTÉS-TEST,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
PARMENTIER DE PATATE DOUCE ET POIS CHICHE,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
PATE DE QUINOA/CHX FLEUR/FETA,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
PENNE AU PROTEINE VEGETAL */,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
PITOULITZES EPINARD/FETA,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
PIZZA COURGETTE/CHEVRE/PESTO,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
PIZZA PATATE DOUCE,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
PIZZA POLENTA CHEVRE/NOIX,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
PLAT THAI AU CURRY ET COCO ,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
POKE BOWL VG -TEST,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
RAGOÛT AFRICAIN AUX LÉGUMES  - TEST,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
RISOTTO AUX ASPERGES & PETITS POIS -TEST-,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
RISOTTO AUX CEPES */ (BC),06-PLATS VEGETARIENS,VEGETARIEN CUISINE
RISOTTO AUX LEGUMES HACHÉ VG */ (BC),06-PLATS VEGETARIENS,VEGETARIEN CUISINE
RISOTTO DE POTIRON/OMELETTE,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
RIZ BASMATI CURRY/COURGE */ VEGET SAISON !!!,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
RIZ CORAIL AUX FRUITS SECS,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
SALADE PATE COMPLETE HARICOT ROUGE,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
SAUCE AUX LEGUMES */ ( VEGET),06-PLATS VEGETARIENS,VEGETARIEN CUISINE
SAUCE TOMATE ONCTUEUSE AUX LENTILLES CORAIL,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
SAUTE DE NOUILLE AU SETAN,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
SAUTE DE SETAN,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
SOUFFLE DE CEPES,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
SPAGHETTI AU PESTO DE COURGETTES/AMANDES,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
STEAK DE CHOUX FLEUR   (BC),06-PLATS VEGETARIENS,VEGETARIEN CUISINE
STEAK DE CHOUX FLEUR  (BC),06-PLATS VEGETARIENS,VEGETARIEN CUISINE
TABOULE FACON INCA CHAUD */ VEGET,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
TACOS VEGETARIEN*/ VEGET,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
TAHCHIN */ (VEGET),06-PLATS VEGETARIENS,VEGETARIEN CUISINE
TAJINE POIS CHICHE ET PATATE DOUCE,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
TARTE A L'OIGNON */ VEGET,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
TARTE AUX POIREAUX,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
TARTE EPINARD RICOTTA/POIS CHICHE,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
TARTE FINE A L'OIGNON */ VEGET,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
TARTE POTIRON/CHAMPIGNON,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
TARTELETTE  FROMAGE  FT UCP,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
TARTINE BECHAMEL CHAMPIGNON GRUYERE /88,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
TARTINE BECHAMEL JULIENNE/LEG/GRUYERE /88,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
TARTINE SCE TOMATE MOZZA BASILIC /88,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
TOFU À LA JAPONAISE,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
TOMATE FARCI AU QUINOA */ VEGET  SAISON!!!,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
TOMATES FARCIES SARRASIN-CHAMPIGNONS-POIVRONS-TEST,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
TORTILLA BOULETTE/RATATOUILLE */ VEGET (*18),06-PLATS VEGETARIENS,VEGETARIEN CUISINE
TORTILLA VEGETAL/ POIS CHICHE  VEGET(*18),06-PLATS VEGETARIENS,VEGETARIEN CUISINE
WOK DE POTIRON SAUCE COCO,06-PLATS VEGETARIENS,VEGETARIEN CUISINE
BOUCHEE FORESTIERE VEGET,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
BOULGOUR FACON PAELLA  VEGET,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
BURGER VEGE (PLAT COMPLET),06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
BURGER VEGETAL,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
BURGER VEGETAL POLENTA,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
CASSOULET VEGETARIEN,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
CHILI SIN,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
COURGETTE FARCIE VEGGIE,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
FARITAS CHILI SIN,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
FEUILLETE AUX EPINARDS */ VEGET,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
GALETTE D'EPINARDS */ VEGET,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
HACHIS PARMENTIER  */ (VEGET),06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
MOUSSAKA VEGETAL,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
PLAT CHOUCROUTE VEGE,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
QUENELLE BECHAMEL/CHAMPIGNONS */  VEGET,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
RAVIOLI AUX EPINARDS */ VEGET,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
RIZ PAELLA VEGETARIEN */ (VEGET) PLAT,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
SAUCE FACON PUTTANESCA,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
SAUCE VEGETALE BOLOGNAISE */,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
TOMATE FARCIE VEGGIE,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
TORSADE  BOLOGNAISE VEGETAL BOX */ PV,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
TORTELINI RICOTTA EPINARD (VEGET),06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
TORTELLINIS SCE EPINARD/POIS CHICHE,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
VOL AU TOFU,06-PLATS VEGETARIENS,VEGETARIEN TROMPE L'OEIL
ASSIETTE CHICKEN WINGS ( 4 PAR PERS),07-PLATS COMPOSÉS,BASE VIANDE
ASSIETTE KEBAB,07-PLATS COMPOSÉS,BASE VIANDE
ASSIETTES BROCHETTES DE DINDE,07-PLATS COMPOSÉS,BASE VIANDE
LASAGNE EPINARD POISSON,07-PLATS COMPOSÉS,BASE VIANDE
LASAGNE EPINARD POULET*/,07-PLATS COMPOSÉS,BASE VIANDE
MEZZE MANICHE POULET/JULIENNE DE LEGUMES */,07-PLATS COMPOSÉS,BASE VIANDE
SAUCE BOLOGNAISE */,07-PLATS COMPOSÉS,BASE VIANDE
SAUCE CARBONARA  */,07-PLATS COMPOSÉS,BASE VIANDE
SAUCE CARBONARA/DINDE  */,07-PLATS COMPOSÉS,BASE VIANDE
TARTINE BECHAMEL PDT LARDON FROMAGE RACLETTE /88,07-PLATS COMPOSÉS,BASE VIANDE
TARTINE BECHAMEL VIANDE HACHEE /88,07-PLATS COMPOSÉS,BASE VIANDE
TARTINE SCE TOMATE VIANDE HACHEE GRUYERE /88,07-PLATS COMPOSÉS,BASE VIANDE
CALZONE AU FROMAGE,07-PLATS COMPOSÉS,PIZZAS
CALZONE AU JAMBON,07-PLATS COMPOSÉS,PIZZAS
CALZONE AU POULET,07-PLATS COMPOSÉS,PIZZAS
CALZONE AU POULET INSNACK,07-PLATS COMPOSÉS,PIZZAS
CALZONE AU THON,07-PLATS COMPOSÉS,PIZZAS
CALZONE AU THON INSNACK,07-PLATS COMPOSÉS,PIZZAS
PIZZA  AU CHORIZO  */(120),07-PLATS COMPOSÉS,PIZZAS
PIZZA  BLANCHE RICOTTA/CHAMPIGNON */608,07-PLATS COMPOSÉS,PIZZAS
PIZZA  PATATE DOUCE/BETTERAVE */608 TEST,07-PLATS COMPOSÉS,PIZZAS
PIZZA  SAUMON ROSE*/  (120),07-PLATS COMPOSÉS,PIZZAS
PIZZA 4 FROMAGES */ LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA 4 FROMAGES */608,07-PLATS COMPOSÉS,PIZZAS
PIZZA A L'ORIENTALE */ (120),07-PLATS COMPOSÉS,PIZZAS
PIZZA A LA GRECQUE*/(120),07-PLATS COMPOSÉS,PIZZAS
PIZZA A LA RACLETTE */ LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA A LA RACLETTE */608,07-PLATS COMPOSÉS,PIZZAS
PIZZA ALSACIENNE*/(120),07-PLATS COMPOSÉS,PIZZAS
PIZZA AU BOEUF HACHÉ */ (120) HC,07-PLATS COMPOSÉS,PIZZAS
PIZZA AU CHORIZO */ LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA AU CHORIZO */608,07-PLATS COMPOSÉS,PIZZAS
PIZZA AU JAMBON CRU */ 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA AU JAMBON CRU */ LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA AU JAMBON DE DINDE */608,07-PLATS COMPOSÉS,PIZZAS
PIZZA AU JAMBON DE DINDE LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA AU REBLOCHON */ LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA AU REBLOCHON */608,07-PLATS COMPOSÉS,PIZZAS
PIZZA AU REBLOCHON S/S PORC */608,07-PLATS COMPOSÉS,PIZZAS
PIZZA AU REBLOCHON S/S PORC */LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA AU SAUMON FUME */608,07-PLATS COMPOSÉS,PIZZAS
PIZZA AU SAUMON FUME */LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA AU THON */608,07-PLATS COMPOSÉS,PIZZAS
PIZZA AUX 3 FROMAGES /* (120),07-PLATS COMPOSÉS,PIZZAS
PIZZA AUX AUBERGINES */ LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA AUX AUBERGINES */608,07-PLATS COMPOSÉS,PIZZAS
PIZZA AUX LARDONS/OIGNON/CREME */608,07-PLATS COMPOSÉS,PIZZAS
PIZZA AUX LEGUMES */ LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA AUX LEGUMES */608,07-PLATS COMPOSÉS,PIZZAS
PIZZA BILLE DE MOZARELLA */608,07-PLATS COMPOSÉS,PIZZAS
PIZZA BILLE DE MOZARELLA */LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA BOLOGNAISE*/(250),07-PLATS COMPOSÉS,PIZZAS
PIZZA BOLOGNAISE*/608,07-PLATS COMPOSÉS,PIZZAS
PIZZA BOLOGNAISE*/LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
"PIZZA COURGETTE, AUBERGINE, POIVRONS */ LUNDI 608",07-PLATS COMPOSÉS,PIZZAS
"PIZZA COURGETTE, AUBERGINE, POIVRONS 608",07-PLATS COMPOSÉS,PIZZAS
"PIZZA COURGETTE, TOMATE, BRIE */ 608",07-PLATS COMPOSÉS,PIZZAS
"PIZZA COURGETTE, TOMATE, BRIE */ LUNDI 608",07-PLATS COMPOSÉS,PIZZAS
PIZZA DES DE BREBIS */608,07-PLATS COMPOSÉS,PIZZAS
PIZZA DES DE BREBIS */LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA EPINARD/OEUF */608,07-PLATS COMPOSÉS,PIZZAS
PIZZA EPINARD/OEUF */LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA FLAMMEKUECHE /* 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA FLORENTINE */608,07-PLATS COMPOSÉS,PIZZAS
PIZZA JAMBON DE POULET */ LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA JAMBON DE POULET */608,07-PLATS COMPOSÉS,PIZZAS
PIZZA JAMBON/CHAMPIGNONS */ LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA JAMBON/CHAMPIGNONS DE PARIS */608,07-PLATS COMPOSÉS,PIZZAS
PIZZA KEBAB*/ LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA KEBAB*/ PLAT,07-PLATS COMPOSÉS,PIZZAS
PIZZA KEBAB*/608,07-PLATS COMPOSÉS,PIZZAS
PIZZA LARDONS/OIGNONS/CREME */ LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA LYONNAISE*/608,07-PLATS COMPOSÉS,PIZZAS
PIZZA LYONNAISE*/LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA MERGUEZ */ 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA MERGUEZ */ LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA MIETTE DE ROQUEFORT */608,07-PLATS COMPOSÉS,PIZZAS
PIZZA MIETTE DE ROQUEFORT */LUNDI 608,07-PLATS COMPOSÉS,PIZZAS
PIZZA MONTAGNARDE */608,07-PLATS COMPOSÉS,PIZZAS
